StrengthHub Online | Master Exercise Database																																			
110 exercises with screen ready copy, Min RIR floors and ID backed substitutions. The workbook is the full workout backend: read order is Screening Outcomes, Split Selector or Custom Split Rules, Schedule Rules + External Commitments, Session Templates, Exercise Database, Prescription Logic, Safety Rules, Substitutions.																																			
ID	Exercise	Muscle Group	Primary Muscles	Movement Pattern	Substitution Group	Type	Equipment Tier	Equipment	Skill Level	Unilateral	Loadable	Prescription Class	Primary Goal Fit	Why It Is In The Database	What It Does	Step 1	Step 2	Step 3	Common Mistake	Substitutions (Best First)	Substitution Count	Min RIR	Safety Note	Substitution IDs (Best First)	Failure Allowed	Spotter Recommended	Required Equipment Tags	Optional Equipment Tags	Impact Level	Supported	Active	video_url	Measurement Type	Load Unit	Stress Regions
CH01	Barbell Bench Press	Chest	Pectoralis major, anterior delt, triceps	Horizontal Push	Chest | Press	Compound	Full Gym	Barbell, bench	Intermediate	No	Yes	Load	Strength	The benchmark horizontal press. Loads heavily and progresses in small increments, so it anchors any strength block and gives a clean lift to track over a semester.	A flat barbell press that builds raw pushing strength across the chest, shoulders and triceps.	Set up with your eyes under the bar and your shoulder blades pulled down and back	Lower the bar to your mid chest with elbows around 45 degrees	Press it back up over your shoulders and keep your ribs down	Bouncing the bar off your chest and letting your shoulders roll forward.	Dumbbell Bench Press, Machine Chest Press, Incline Barbell Bench Press, Incline Dumbbell Press, Close Grip Bench Press, Decline Barbell Bench Press, Feet Elevated Push Up, Push Up, Incline Push Up, Dumbbell Chest Fly	10	1	Free weight compound. Always stop at least one rep short of failure. Swap to Dumbbell Bench Press if form breaks down.	CH02, CH05, CH09, CH03, TR01, CH10, CH12, CH04, CH11, CH07	No	Yes	barbell,bench		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, wrist, chest
CH02	Dumbbell Bench Press	Chest	Pectoralis major, anterior delt, triceps	Horizontal Push	Chest | Press	Compound	Basic Gym	Dumbbells, bench	Beginner	No	Yes	Load	Hypertrophy	Safer than the barbell for a lifter training alone, allows a deeper stretch, and forces each side to work independently. Ideal default press for new users.	A flat dumbbell press that builds the chest with a deeper stretch and even effort on both sides.	Lie back holding the dumbbells at chest height, wrists stacked over elbows	Lower until your upper arms are level with your torso	Press up and slightly together without clashing the dumbbells	Dropping the elbows too low and straining the front of the shoulder.	Machine Chest Press, Barbell Bench Press, Incline Dumbbell Press, Feet Elevated Push Up, Push Up, Incline Push Up, Dumbbell Chest Fly, Cable Chest Fly	8	1	Free weight compound. Always stop at least one rep short of failure. Swap to Machine Chest Press if form breaks down.	CH05, CH01, CH03, CH12, CH04, CH11, CH07, CH06	No	No	dumbbell,bench		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, wrist, chest
CH03	Incline Dumbbell Press	Chest	Upper pectoralis, anterior delt	Horizontal Push	Chest | Press	Compound	Basic Gym	Dumbbells, incline bench	Beginner	No	Yes	Load	Hypertrophy	Biases the upper chest, which is usually the lagging region in students who mostly do flat pressing. Covers a gap the flat press leaves.	An inclined dumbbell press that targets the upper chest and front shoulders.	Set the bench to about 30 degrees and hold the dumbbells at chest height	Lower slowly until you feel a stretch across the upper chest	Press up over your collarbones, not over your face	Setting the bench too steep so it turns into a shoulder press.	Incline Barbell Bench Press, Dumbbell Bench Press, Machine Chest Press, Barbell Bench Press, Feet Elevated Push Up, Push Up, Incline Push Up, Cable Chest Fly	8	1	Free weight compound. Always stop at least one rep short of failure. Swap to Incline Barbell Bench Press if form breaks down.	CH09, CH02, CH05, CH01, CH12, CH04, CH11, CH06	No	No	dumbbell,incline_bench		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, wrist, chest
CH04	Push Up	Chest	Pectoralis major, triceps, anterior delt	Horizontal Push	Chest | Press	Compound	Bodyweight	None	Beginner	No	No	Rep	General Fitness	Zero equipment, infinitely regressable to knees or a bench and progressable to feet elevated. This is the fallback chest press for dorm and travel workouts.	A bodyweight press that trains the chest, triceps and core with no equipment at all.	Set hands slightly wider than your shoulders, body in one straight line	Lower your chest to just above the floor with elbows tucked to 45 degrees	Press back up and squeeze your glutes the whole time	Letting the hips sag so the lower back does the work.	Incline Push Up, Feet Elevated Push Up, Machine Chest Press, Dumbbell Bench Press, Barbell Bench Press, Diamond Push Up, Dumbbell Chest Fly	7	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Incline Push Up.	CH11, CH12, CH05, CH02, CH01, TR06, CH07	Yes	No	none		Low	No	Yes		reps	bodyweight	shoulder, elbow, wrist, chest
CH05	Machine Chest Press	Chest	Pectoralis major, triceps	Horizontal Push	Chest | Press	Compound	Basic Gym	Chest press machine	Beginner	No	Yes	Load	Hypertrophy	Fixed path removes the balance requirement, so a nervous first timer can still train close to failure safely. High compliance for absolute beginners.	A guided chest press that lets you push hard with almost no balance or setup required.	Set the seat so the handles sit level with your mid chest	Press out until your arms are almost straight	Return under control until you feel a stretch, then repeat	Setting the seat too high and turning it into an awkward shoulder press.	Dumbbell Bench Press, Barbell Bench Press, Incline Dumbbell Press, Push Up, Incline Push Up, Cable Chest Fly	6	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Dumbbell Bench Press.	CH02, CH01, CH03, CH04, CH11, CH06	Yes	No	machine_chest_press		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, wrist, chest
CH06	Cable Chest Fly	Chest	Pectoralis major	Horizontal Push	Chest | Fly	Isolation	Full Gym	Cable machine	Beginner	No	Yes	Load	Hypertrophy	Constant tension through the full range and a resisted stretch at the bottom. Adds chest volume without further loading the triceps or shoulders.	A cable fly that keeps constant tension on the chest through the full range.	Set the pulleys around chest height and take a small split stance	Bring your hands together in front of your chest with a soft elbow bend	Open your arms slowly until you feel a stretch, then repeat	Bending and straightening the elbows so it becomes a press.	Dumbbell Chest Fly, Machine Chest Press, Dumbbell Bench Press, Push Up, Incline Push Up	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Dumbbell Chest Fly.	CH07, CH05, CH02, CH04, CH11	Yes	No	cable_machine		Low	No	Yes		weight_reps	kg	shoulder, elbow, wrist, chest
CH07	Dumbbell Chest Fly	Chest	Pectoralis major	Horizontal Push	Chest | Fly	Isolation	Basic Gym	Dumbbells, bench	Intermediate	No	Yes	Load	Hypertrophy	The cable fly substitute when no cable stack exists. Keeps a pure adduction pattern available in home and hotel gyms.	A dumbbell fly that stretches the chest under load and adds volume without heavy pressing.	Lie back holding dumbbells above your chest with elbows slightly bent	Open your arms out wide until your chest stretches	Bring the dumbbells back together over your chest	Going too heavy and dropping the arms past a comfortable stretch.	Cable Chest Fly, Machine Chest Press, Dumbbell Bench Press, Push Up, Incline Push Up	5	0	Safe to train close to failure. Stop on sharp or joint pain and swap to Cable Chest Fly.	CH06, CH05, CH02, CH04, CH11	Yes	No	dumbbell,bench		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, wrist, chest
CH08	Dip (Chest Lean)	Chest	Lower pectoralis, triceps	Vertical Push	Chest | Press	Compound	Basic Gym	Dip bars or parallel bars	Advanced	No	Yes	Load	Strength	One of the few bodyweight pressing patterns that loads the lower chest hard. Scales for years by adding a belt, which suits advanced users.	A bodyweight dip with a forward lean that hits the lower chest hard.	Support yourself on the bars with straight arms and lean your chest forward	Lower until your upper arms are roughly parallel to the floor	Press back up, keeping the forward lean the whole rep	Dropping too deep and letting the shoulders shrug up around the ears.	Feet Elevated Push Up, Dumbbell Bench Press, Machine Chest Press, Decline Barbell Bench Press, Push Up, Bench Dip, Incline Push Up	7	2	Advanced only. Never taken to failure. Beginner and intermediate users are served Feet Elevated Push Up instead.	CH12, CH02, CH05, CH10, CH04, TR05, CH11	No	No	dip_bars		Low	No	Yes		weight_reps	kg	shoulder, elbow, wrist
CH09	Incline Barbell Bench Press	Chest	Upper pectoralis, anterior delt, triceps	Horizontal Push	Chest | Press	Compound	Full Gym	Barbell, incline bench	Intermediate	No	Yes	Load	Strength	Loads the upper chest heavier than the dumbbell version and progresses in small plate increments. This is the upper chest lift that can headline a strength block rather than fill volume.	An inclined barbell press that loads the upper chest heavier than any dumbbell version.	Set the bench to about 30 degrees and grip just outside shoulder width	Lower the bar to your upper chest with the elbows tucked slightly	Press back up over your collarbones	Flaring the elbows straight out and putting the load on the shoulder joint.	Incline Dumbbell Press, Barbell Bench Press, Dumbbell Bench Press, Machine Chest Press, Push Up, Incline Push Up	6	1	Free weight compound. Always stop at least one rep short of failure. Swap to Incline Dumbbell Press if form breaks down.	CH03, CH01, CH02, CH05, CH04, CH11	No	Yes	barbell,incline_bench		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, wrist, chest
CH10	Decline Barbell Bench Press	Chest	Lower pectoralis, triceps	Horizontal Push	Chest | Press	Compound	Full Gym	Barbell, decline bench	Intermediate	No	Yes	Load	Strength	Shortest range of the three bench angles, so the heaviest loads and the lowest shoulder stress. Included as a pressing variation and a shoulder friendly option, though the chest lean dip covers similar ground without a decline bench.	A declined barbell press that shortens the range and emphasises the lower chest.	Lock your legs in and unrack the bar over your chest	Lower the bar to the base of your chest	Press straight back up without letting the bar drift toward your face	Getting up too fast after the set and feeling lightheaded.	Barbell Bench Press, Dumbbell Bench Press, Dip (Chest Lean), Machine Chest Press, Feet Elevated Push Up, Push Up	6	1	Free weight compound. Always stop at least one rep short of failure. Swap to Barbell Bench Press if form breaks down.	CH01, CH02, CH08, CH05, CH12, CH04	No	Yes	barbell,decline_bench		Low	Yes	Yes		weight_reps	kg	shoulder, elbow, wrist, chest
