Swap Logic															
Every exercise has at least three prepared alternatives, listed best first. Tier 1 is a true like for like swap from the same substitution group. Tier 2 is a same muscle group swap, used when a user simply dislikes or cannot access the movement. Advanced lifts always list an easier swap first.															
ID	Exercise	Substitution Group	Substitutions (Best First)	Total	Tier 1	Swap Note									
CH01	Barbell Bench Press	Chest | Press	Dumbbell Bench Press, Machine Chest Press, Incline Barbell Bench Press, Incline Dumbbell Press, Close Grip Bench Press, Decline Barbell Bench Press, Feet Elevated Push Up, Push Up, Incline Push Up, Dumbbell Chest Fly	10	8	Multiple like for like swaps available.									
CH02	Dumbbell Bench Press	Chest | Press	Machine Chest Press, Barbell Bench Press, Incline Dumbbell Press, Feet Elevated Push Up, Push Up, Incline Push Up, Dumbbell Chest Fly, Cable Chest Fly	8	6	Multiple like for like swaps available.									
CH03	Incline Dumbbell Press	Chest | Press	Incline Barbell Bench Press, Dumbbell Bench Press, Machine Chest Press, Barbell Bench Press, Feet Elevated Push Up, Push Up, Incline Push Up, Cable Chest Fly	8	7	Multiple like for like swaps available.									
CH04	Push Up	Chest | Press	Incline Push Up, Feet Elevated Push Up, Machine Chest Press, Dumbbell Bench Press, Barbell Bench Press, Diamond Push Up, Dumbbell Chest Fly	7	5	Multiple like for like swaps available.									
CH05	Machine Chest Press	Chest | Press	Dumbbell Bench Press, Barbell Bench Press, Incline Dumbbell Press, Push Up, Incline Push Up, Cable Chest Fly	6	5	Multiple like for like swaps available.									
CH06	Cable Chest Fly	Chest | Fly	Dumbbell Chest Fly, Machine Chest Press, Dumbbell Bench Press, Push Up, Incline Push Up	5	1	One like for like swap (Dumbbell Chest Fly). Rest are same muscle group.									
CH07	Dumbbell Chest Fly	Chest | Fly	Cable Chest Fly, Machine Chest Press, Dumbbell Bench Press, Push Up, Incline Push Up	5	1	One like for like swap (Cable Chest Fly). Rest are same muscle group.									
CH08	Dip (Chest Lean)	Chest | Press	Feet Elevated Push Up, Dumbbell Bench Press, Machine Chest Press, Decline Barbell Bench Press, Push Up, Bench Dip, Incline Push Up	7	6	Advanced only. Serve Feet Elevated Push Up to beginner and intermediate users.									
CH09	Incline Barbell Bench Press	Chest | Press	Incline Dumbbell Press, Barbell Bench Press, Dumbbell Bench Press, Machine Chest Press, Push Up, Incline Push Up	6	6	Multiple like for like swaps available.									
CH10	Decline Barbell Bench Press	Chest | Press	Barbell Bench Press, Dumbbell Bench Press, Dip (Chest Lean), Machine Chest Press, Feet Elevated Push Up, Push Up	6	6	Multiple like for like swaps available.									
CH11	Incline Push Up	Chest | Press	Push Up, Machine Chest Press, Dumbbell Bench Press, Feet Elevated Push Up, Dumbbell Chest Fly	5	4	Multiple like for like swaps available.									
CH12	Feet Elevated Push Up	Chest | Press	Push Up, Incline Push Up, Dip (Chest Lean), Dumbbell Bench Press, Machine Chest Press	5	5	Multiple like for like swaps available.									
BK01	Conventional Deadlift	Back | Hinge	Trap Bar Deadlift, Rack Pull, Dumbbell Deadlift, Romanian Deadlift, Cable Pull Through, Hip Thrust, Back Extension, Single Leg Romanian Deadlift, Prone Superman	9	3	Advanced only. Serve Trap Bar Deadlift to beginner and intermediate users.									
BK02	Barbell Bent Over Row	Back | Horizontal Pull	Chest Supported Dumbbell Row, Dumbbell Single Arm Row, Seated Cable Row, Inverted Row, Band Bent Over Row, Lat Pulldown	6	5	Multiple like for like swaps available.									
BK03	Dumbbell Single Arm Row	Back | Horizontal Pull	Chest Supported Dumbbell Row, Seated Cable Row, Barbell Bent Over Row, Inverted Row, Band Bent Over Row	5	5	Multiple like for like swaps available.									
