Schedule Rules			
How day types are placed onto the user's actual calendar, including rest day calculation and fixed commitments. Applied in rule order after the split is chosen. Rest days are whatever remains after lifting days and commitments are placed, subject to the SCH02 floor.			
rule_id	name	rule	plain_english
SCH01	inputs	At onboarding collect: which days the user can lift, which days carry fixed commitments, and the commitment type and intensity for each.	The calendar is built around real life, not the other way round.
SCH02	rest floor	Every week keeps at least one day with no lifting and no declared commitment. If the user's schedule leaves zero empty days, drop the lowest priority lifting day.	One genuine rest day per week is non negotiable.
SCH03	spacing	At least 48 hours between two sessions of the same day type, and between any two sessions that hit the same muscle group directly. Consecutive day pairs that work (Upper then Lower, Push then Pull, Push then Legs) are preferred when days are tight.	Muscles grow between sessions, not during them.
SCH04	commitment adjacency	Apply the adjacency rules from External Commitments. Where a conflict cannot be avoided (user lifts Mon and Wed, basketball Tue), place the Upper or Push day next to the commitment and move Legs or Lower as far from it as the week allows.	Legs never sit against a leg heavy sport if any other arrangement exists.
SCH05	placement order	Place day types onto the calendar in this order: Legs and Lower first (they have the most constraints), then Pull, then Push and Upper, then Full, then Focus, then standalone conditioning.	The most constrained day gets first choice of calendar slots.
SCH06	compression	If commitments plus the rest floor leave fewer usable lifting days than the chosen split needs, re run the Split Selector with the reduced day count. Never delete individual days from a split, the split itself changes.	A 4 day Upper Lower with a day removed is a broken program. A 3 day Full Body is a complete one.
SCH07	missed session	If a session is missed and the next scheduled session is more than 24 hours away, shift the week forward one day. Otherwise skip the missed session and continue, folding its 2 highest priority slots into the next compatible day if the session budget allows.	The program bends instead of snapping. Nobody restarts a week because of one bad Tuesday.
SCH08	recurring conflict	If the same session is missed 3 weeks running, treat the day as unavailable, re run scheduling, and suggest the change to the user rather than silently punishing them.	The schedule adapts to the user's real week, not their optimistic one.
SCH09	exam and travel mode	On a user flag, compress to the FB2 split at General Fitness volume for the flagged period, keep loads, and restore the previous program after.	Two maintained sessions through exam block beat a perfect program that gets abandoned.
SCH10	planned absence	Any date inside an active planned_absence (Exam Survival Protocol) is exempt from SCH07 and SCH08: it never counts as a missed session, never triggers re-scheduling, and never penalises the user.	A day you told us about in advance is not a day you failed to show up.
