Safety and Programming Rules
Applied after the Prescription Grid lookup, in ascending numeric priority (the rule_id prefix is a label, priority is the sort key). HARD_SAFETY rules can block or rewrite a session and are never overridden by any goal, preference or prompt. PROGRAM_DEFAULT and FATIGUE_ADJUSTMENT rules are coaching defaults with named exemptions.

rule_id	priority	rule_type	applies_to	condition	action	plain_english
S01	10	HARD_SAFETY	skill_level = Advanced	user_experience below Advanced	Do not serve. Walk the Substitutions list in priority order and return the first entry compatible with the user's skill level, equipment, restrictions and exclusion history.	Advanced lifts are never given to a beginner. The app walks the swap list until it finds one the user can actually and safely do.
S02	20	HARD_SAFETY	prescription_class = Power	any goal	Force rir_min to 2 or higher. End set if movement speed or landing quality drops.	Explosive lifts are never taken to failure. A failed jump squat is a fall.
S03	30	HARD_SAFETY	Failure Allowed = No	any goal	Force rir_min to the exercise Min RIR or higher.	Free weight compounds, Power lifts and Advanced lifts always stop short of failure. Nobody fails a squat alone in a university gym.
S04	40	HARD_SAFETY	prescription_class = Load	reps below 4 or load above 88% 1RM	Clamp reps_min to 4 and pct_1rm_max to 88.	The app never prescribes a near maximal single, double or triple. That needs a coach and a spotter in the room.
S05	50	HARD_SAFETY	all exercises	user has not completed pre exercise screening	Block program generation. Run the screening flow. Route on the outcome per the Screening Outcomes sheet.	Everybody is screened before a single set is prescribed, and the screening outcome decides what happens next. Screening alone does not guarantee safety.
S06	60	HARD_SAFETY	all exercises	stop symptom reported: chest pain or discomfort, dizziness, fainting, unusual shortness of breath, palpitations, numbness or tingling	End the session immediately. Show the stop message. Do not generate further sessions until the user confirms symptoms resolved, or professional clearance where the Screening Outcomes sheet requires it.	Symptoms are never trained through. Chest pain, dizziness and fainting also prompt the user to seek medical advice. Acute sharp joint pain instead ends that exercise and routes to a pain swap (SW02) plus the Injury Modifications region rules, without freezing the whole program.
S07	70	HARD_SAFETY	prescription_class = Load	weekly load increase	Cap load increase at 5 percent per week per exercise, or 2.5kg upper and 5kg lower body, whichever is smaller.	Slow progression is the safe kind. Big jumps are how people get hurt.
S08	80	HARD_SAFETY	all exercises	required equipment not available to the user	Walk the Substitutions list and return the first compatible entry.	The app never prescribes gear the user does not have.
S09	90	HARD_SAFETY	Spotter Recommended = Yes	user trains alone	Serve the highest priority substitute that does not need a spotter, or attach the no spotter safety cue (no collars on bench, safeties set in the rack).	Barbell bench and back squat variations get a spotter or a safe setup, never neither.
P01	100	PROGRAM_DEFAULT	user_experience = Beginner	first 4 weeks	Force rir_min to 2. Block Advanced and Power classes. Start every load light, around RIR 4 to 5 in week one, and work up over two sessions.	New lifters build the movement first, then the effort, then the load.
P02	110	PROGRAM_DEFAULT	prescription_class = Load or Rep	rest below 45 seconds outside Fat Loss circuits and Interval work	Raise rest_sec_min to 45.	A default, not a law. Fat Loss circuits and Intervals are exempt because short rest is the point there.
P03	120	PROGRAM_DEFAULT	prescription_class = Time	any goal	Cap duration_sec_max at 60.	Past a minute the hold trains endurance, not the target muscle. A preference, not a safety fact.
F01	130	FATIGUE_ADJUSTMENT	all exercises	6 completed training weeks, OR 2 consecutive weeks of stalled progression, rising logged RPE, or persistent soreness	Offer a deload week (cut sets 40 percent, hold load, raise rir_min by 1). At 6 weeks it is a prompt the user can accept or defer once; on fatigue signals it is applied.	A planned easy week, offered not forced at the 6 week mark, applied when the body actually shows fatigue. Recovery matters but rigid rules hurt adherence.
F02	140	FATIGUE_ADJUSTMENT	all exercises	user logs RPE 10 or failure on 3 or more sets in a session	Reduce next session sets by 1 and raise rir_min by 1.	Pull the user back before they dig a hole.
F03	150	FATIGUE_ADJUSTMENT	all exercises	user reports poor sleep or a missed session	Raise rir_min by 1 for that session.	An easier session done beats a hard session skipped.
