Build Backlog							
Every implementation task pulled from across the workbook into one ordered checklist. This is the build plan for the SHOAPPNATIVE repo and the Firestore backend. Priority: P0 = required for a safe launch (nothing generates for real users without these); P1 = core program engine; P2 = enhancement, can follow launch. 'Spec sheet' is where the rules live; build against that sheet, do not reinvent the logic here. Tick 'status' as you go.							
#	Priority	Layer	Task	Depends on	Spec sheet(s)	Acceptance check	Status
1	P0	Data model	Build the Firestore collections: users, programs, workout_instances, set_logs, progression_state, swap_history, flags, plus users.planned_absences[].	-	Data Schemas	All collections exist with the exact field names from the spec. A read/write round-trips for each.	
2	P0	Data model	Import the 110 exercises with every column (incl. Measurement Type, Load Unit, Stress Regions, equipment tags, Min RIR, Failure Allowed, Spotter).	collections	Exercise Database	110 docs seeded. Spot-check 5 exercises match the sheet exactly.	
3	P0	Data model	Import the 528-row Substitutions collection (ID-based).	exercise import	Substitutions	Every substitute_id resolves to a real exercise. No dangling IDs.	
4	P0	Mappings	Build the canonical mapping lookup (onboarding answer -> backend value) as ONE shared module used by both the wizard and the generator.	-	Onboarding Contract	Two users with identical answers produce identical stored values. No AI inference in this path.	
5	P0	Onboarding	Build the 11-step wizard, incl. date_of_birth (not age), trains_alone, weekday picker, equipment tags, injury chips, outside activity, and the final safety check.	mappings	Onboarding Questions, Onboarding Contract	Every 'ask' field is collected. Nothing defaults age. Safety check cannot be skipped.	
6	P0	Screening	Implement screening routing: 7 questions + joint follow-ups -> CLEAR / MODIFY / REQUIRE_CLEARANCE / DO_NOT_GENERATE. Block generation on the last two.	onboarding	Screening Outcomes, Safety Rules S05	A cardiac/pregnancy/at-rest flag produces NO program and the clearance message. A minor joint flag routes to MODIFY.	
7	P0	Screening	Implement Age Routing: adult vs 16-17 youth path (guardian consent) vs under-16 block, from date_of_birth.	screening	Age Routing	A 17-year-old cannot enter the adult flow. Under-16 is blocked.	
8	P0	Safety	Implement the Safety Rules engine: apply HARD_SAFETY rules after every prescription and every runtime change, in priority order. HARD rules cannot be overridden by user input.	data model	Safety Rules	No output ever breaches a floor (reps<4 on Load, >88% 1RM, past Min RIR, no-spotter solo lift, advanced lift to non-advanced user).	
9	P0	Safety	Implement stop-symptom escalation (S06): end session, log event, halt generation until resolved/cleared. Wire into the coach so it never 'swaps' past a symptom.	safety engine	Safety Rules S06, Exercise Swaps SW03	A reported chest pain/dizziness ends the session and blocks regeneration.	
10	P0	Coach AI	Wire the Coach AI Operating Rules as the system-prompt contract. extraInstructions points here; hard nevers and consult order enforced.	safety engine	Coach AI Operating Rules	The coach refuses out-of-scope asks, follows the consult order, and never breaches a hard never in testing.	
11	P0	Review	Accredited exercise professional signs off Screening Outcomes, Safety Rules, Age Routing, Injury Modifications, Coach AI Operating Rules before the coach is enabled.	all P0 safety items	Screening Outcomes, Safety Rules, Age Routing, Injury Modifications, Coach AI Operating Rules	Written sign-off on file. Coach stays disabled until this is done.	
12	P1	Generator	Implement the 14-step Generator Flow as the build pipeline.	data model, safety engine	Generator Flow	A full program generates end-to-end for a CLEAR user across all 4 goals.	
13	P1	Generator	Implement Split Selector (days x experience x goal -> split_id, first match wins).	generator flow	Split Selector, Splits	Every days(1-6) x experience x goal combo resolves to a valid split.	
14	P1	Generator	Implement Session Templates slot-filling with token filters (Squat|Lunge, Compound>Isolation, FOCAL_1/2).	split selector	Session Templates, Exercise Database	Each day type fills required slots from valid candidates; optional slots drop on short sessions.	
15	P1	Generator	Implement Weekly Volume budgeting + the 7 reconciliation rules (fill up, add slot, trim overshoot, focal, commitment cuts, floor).	session templates	Weekly Volume	An Intermediate Hypertrophy UL4 user reaches 10-16 chest sets/week; PPL6 back is trimmed under 16.	
16	P1	Generator	Implement Prescription Logic lookup (Goal|Class -> sets/reps/rir/rest/pct1rm), clamped by Min RIR + Failure Allowed + Safety Rules.	safety engine	Prescription Logic	Every prescribed exercise reads its grid row and respects its Min RIR.	
17	P1	Scheduling	Implement Schedule Rules: rest floor, 48h spacing, placement order, commitment adjacency, missed-session SCH07/08, exam SCH10.	generator flow	Schedule Rules, External Commitments	A basketball-Monday user gets legs kept away from Monday and one guaranteed rest day.	
18	P1	Runtime	Implement the Progression Engine: adjust reps/sets/load from set_logs within grid ranges + equipment increments; pause on fatigue, reverse on missed reps.	prescription, data model	Progression Engine	Hitting reps_max at target RIR for 2 sessions triggers a rounded load increase; a stall triggers a deload.	
19	P1	Runtime	Implement Exercise Swaps: walk Substitutions to first compatible option; persist dislike/pain exclusions; re-prescribe and re-clamp.	substitutions, safety	Exercise Swaps, Substitutions	A dislike swap never re-serves the exercise; a pain swap avoids the stress region.	
20	P1	Runtime	Implement Goal Change: re-run split/volume/prescription, preserve loads + history, one easy transition week, version the program.	generator, progression	Goal Change	Changing goal keeps logged loads, creates a new program version, does not spike volume >20%.	
21	P1	Runtime	Implement Custom Splits + Custom Split Resolution (fuzzy request -> day_structure -> validate coverage/spacing/shared volume).	split selector	Custom Split Rules, Custom Split Resolution	'Legs once a week' on 4 days resolves deterministically to Push|Pull|Upper|Lower and passes coverage.	
22	P1	Runtime	Implement Injury Modifications: apply the flagged region row (exclude/downgrade/prefer/rir_bump) to every session; review_after to lift.	screening, swaps	Injury Modifications	A cleared lower-back flag removes free-weight spinal loading and adds +1 RIR to back-loading work.	
23	P1	Feature	Implement Exam Survival Protocol: date-range + mode picker, range-aware generation, auto-restore + re-entry ramp, penalty suppression.	scheduling, data model	Exam Survival Protocol, Exam Protocol Build Spec	Declaring an exam range applies the chosen mode, protects loads, and restores automatically.	
24	P2	Content	Populate exercise media: video_url, thumbnail, captions for all 110 exercises.	exercise import	Exercise Database	Every exercise screen shows a form video. No blank media in the live library.	
25	P2	Data model	Formalise the equipment taxonomy (equipment_id, equivalent_ids, required_all/required_any) to replace slash/comma tag strings.	exercise import	Exercise Database, Field Guide	Equipment filtering uses structured any/all groups, not string parsing.	
26	P2	Coach AI	Build conversational entry points for goal change, swaps, exam ranges and preferences (natural-language -> the right rule).	runtime rules	Coach AI Operating Rules	A user can trigger each runtime feature by chat, and it routes through the consult order.	
27	P2	Notifications	Pre-range and restore prompts; deload prompt at 6 weeks; missed-streak nudge.	scheduling	Exam Protocol Build Spec, Safety Rules F01	User receives the right nudge at the right time; none are punitive.	
28	P2	QA	Build the profile-sweep test harness: generate programs across hundreds of user profiles and assert no safety breach and no empty required slot.	generator, safety	Generator Flow, Safety Rules	Automated suite runs on every backend change; zero safety-rule violations across the sweep.	
P0	Required for a safe launch. Nothing generates for real users until every P0 item, including professional sign-off, is done.						
P1	Core program engine. The app builds and adapts real programs once these are done.						
P2	Enhancements. Improve quality, content and safety coverage; can follow the initial launch.						
