Generator Flow
The end to end order of operations for the workout engine. Steps 1 to 8 build the initial program, steps 9 to 14 run continuously as the user trains and their needs change. The AI layer and the Firestore backend follow these steps in order. No step overrides an earlier HARD_SAFETY outcome, and every runtime change (progression, swap, goal change) is re-clamped by the Safety Rules.

step	name	what_happens	reads_from
1	Screen	Run the pre exercise screening. Route on the Screening Outcomes sheet. CLEAR and MODIFY_AND_CONTINUE proceed, everything else stops here.	Screening Outcomes
2	Collect inputs	Goal, lifting days available (which weekdays, not just how many), session length, experience, exact equipment, focal points (0 to 2), exercises to avoid, and fixed weekly commitments with day, type and intensity.	Onboarding, External Commitments
3	Pick split	Match days, experience and goal in the Split Selector, first row wins. If the user requests their own structure, build and validate it through Custom Split Rules instead. Either path outputs a day_structure string.	Split Selector, Splits, Custom Split Rules
4	Schedule the week	Place day types onto actual weekdays using Schedule Rules: rest floor, 48 hour spacing, commitment adjacency, placement order. Apply the volume and conditioning adjustments from External Commitments. If usable days shrink below the split's needs, return to step 3 with the reduced count. Before placing sessions, check for any active planned_absence (Exam Survival Protocol) covering these dates and apply its mode instead of the normal build.	Schedule Rules, External Commitments, Exam Survival Protocol
5	Budget volume	Set weekly sets per muscle from Weekly Volume, apply focal point adjustments and commitment deductions, cap at 20, floor at the minimum effective.	Weekly Volume, External Commitments
6	Build each day	Fill Session Template slots in order for each scheduled day type. Filter by equipment, skill and exclusions, weight by Primary Goal Fit and focal points, prefer exercises the user already logs. Repeated day types draw different exercises per CS04.	Session Templates, Exercise Database, Custom Split Rules
7	Prescribe	Look up Goal|Class in Prescription Logic per exercise. Clamp against Min RIR, Failure Allowed and every HARD_SAFETY rule, then apply PROGRAM_DEFAULT and FATIGUE_ADJUSTMENT rules.	Prescription Logic, Safety Rules, Exercise Database
8	Set starting loads	Week one starts light, around RIR 4 to 5, and finds the working weight over two sessions. The app never guesses a heavy starting weight.	Safety Rules P01
9	Progress	After every completed instance, run the Progression Engine: read set_logs, adjust reps, sets and load within the grid ranges and Safety Rules, write progression_state. Progression pauses on fatigue and reverses on missed reps.	Progression Engine, Prescription Logic, Safety Rules
10	Swap on demand	On any user request to change an exercise (dislike, pain, equipment, too hard, too easy, wants a specific lift), follow the Exercise Swaps playbook: walk Substitutions to the first compatible entry, re-prescribe it, re-clamp safety. A reported stop symptom is an S06 escalation, not a swap.	Exercise Swaps, Substitutions, Safety Rules
11	Adapt the calendar	Missed sessions follow SCH07, recurring misses follow SCH08, exam or travel flags follow SCH09. New or changed commitments re run step 4.	Schedule Rules
12	Adjust and deload	Watch logged RPE, failures and sleep flags. Apply F01 to F03. Every 6th week is an easy week by default.	Safety Rules
13	Re screen	Any stop symptom triggers S06 immediately. Re run screening on any new injury or condition, and every semester rollover.	Screening Outcomes, Safety Rules S06
14	Goal change	If the user changes their goal mid-program, follow the Goal Change playbook: re-run split selection, volume budget and prescription for the new goal, preserve logged loads and progression history, ease intensity over one transition week, and version the program.	Goal Change, Split Selector, Weekly Volume, Prescription Logic
